frame,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14
123,0.000000,0.000057,0.000132,0.005160,0.936445,0.007949,0.000002,0.000224,0.000038,0.000042,0.000110,0.000340,0.000459,0.000187,0.000029
124,0.000000,0.000076,0.000087,0.004962,0.938806,0.004330,0.000001,0.000208,0.000029,0.000030,0.000065,0.000198,0.000366,0.000170,0.000025
125,0.000000,0.000072,0.000104,0.004800,0.941361,0.004771,0.000002,0.000221,0.000032,0.000031,0.000080,0.000237,0.000395,0.000191,0.000028
126,0.000000,0.000050,0.000164,0.004657,0.937198,0.007193,0.000002,0.000248,0.000038,0.000040,0.000134,0.000365,0.000425,0.000194,0.000029
127,0.000000,0.000048,0.000108,0.004597,0.937633,0.005588,0.000001,0.000216,0.000028,0.000032,0.000074,0.000219,0.000325,0.000164,0.000023
128,0.000000,0.000062,0.000093,0.004128,0.944929,0.004017,0.000001,0.000228,0.000027,0.000027,0.000068,0.000192,0.000329,0.000167,0.000025
129,0.000000,0.000048,0.000134,0.004414,0.939940,0.005981,0.000002,0.000227,0.000033,0.000036,0.000099,0.000295,0.000381,0.000176,0.000026
130,0.000000,0.000051,0.000103,0.004571,0.940605,0.005294,0.000001,0.000207,0.000030,0.000031,0.000075,0.000236,0.000361,0.000158,0.000025
131,0.000000,0.000056,0.000097,0.005009,0.934878,0.005100,0.000001,0.000213,0.000031,0.000031,0.000076,0.000237,0.000382,0.000160,0.000024
132,0.000000,0.000050,0.000155,0.003925,0.938508,0.006077,0.000002,0.000262,0.000032,0.000034,0.000118,0.000316,0.000352,0.000181,0.000030
133,0.000000,0.000050,0.000124,0.003878,0.942001,0.004385,0.000001,0.000228,0.000028,0.000028,0.000069,0.000218,0.000326,0.000166,0.000024
134,0.000000,0.000056,0.000117,0.005071,0.936184,0.005942,0.000002,0.000229,0.000031,0.000035,0.000096,0.000262,0.000372,0.000177,0.000028
135,0.000000,0.000046,0.000124,0.003880,0.941946,0.005715,0.000001,0.000239,0.000030,0.000032,0.000100,0.000278,0.000334,0.000166,0.000026
136,0.000000,0.000050,0.000127,0.004143,0.940207,0.004890,0.000001,0.000223,0.000030,0.000031,0.000081,0.000237,0.000340,0.000173,0.000025
137,0.000000,0.000052,0.000149,0.004498,0.934087,0.005462,0.000002,0.000235,0.000032,0.000033,0.000090,0.000267,0.000386,0.000166,0.000025
138,0.000000,0.000058,0.000116,0.005162,0.937653,0.005423,0.000001,0.000240,0.000032,0.000032,0.000085,0.000252,0.000379,0.000181,0.000026
139,0.000000,0.000066,0.000083,0.005599,0.937144,0.005358,0.000002,0.000186,0.000032,0.000031,0.000070,0.000237,0.000420,0.000170,0.000025
140,0.000000,0.000056,0.000073,0.006065,0.931643,0.005993,0.000001,0.000194,0.000029,0.000031,0.000058,0.000198,0.000355,0.000163,0.000021
141,0.000000,0.000059,0.000111,0.005483,0.934670,0.007050,0.000002,0.000237,0.000035,0.000039,0.000091,0.000287,0.000409,0.000175,0.000027
142,0.000000,0.000054,0.000092,0.004622,0.943109,0.005225,0.000002,0.000184,0.000030,0.000036,0.000081,0.000224,0.000386,0.000155,0.000025
143,0.000000,0.000069,0.000087,0.005214,0.938313,0.005377,0.000002,0.000184,0.000031,0.000033,0.000074,0.000233,0.000401,0.000187,0.000025
144,0.000000,0.000061,0.000109,0.005475,0.938021,0.006225,0.000002,0.000217,0.000034,0.000034,0.000102,0.000294,0.000426,0.000187,0.000030
145,0.000000,0.000070,0.000092,0.005922,0.933223,0.004989,0.000002,0.000208,0.000035,0.000033,0.000073,0.000237,0.000455,0.000173,0.000025
146,0.000000,0.000072,0.000088,0.006199,0.936007,0.006456,0.000002,0.000198,0.000036,0.000036,0.000076,0.000264,0.000443,0.000177,0.000026
147,0.000000,0.000057,0.000103,0.005487,0.932972,0.005687,0.000001,0.000259,0.000030,0.000030,0.000081,0.000237,0.000342,0.000176,0.000024
148,0.000000,0.000078,0.000092,0.005512,0.938138,0.004517,0.000002,0.000223,0.000033,0.000030,0.000073,0.000221,0.000416,0.000176,0.000028
149,0.000000,0.000067,0.000085,0.005303,0.933208,0.005194,0.000001,0.000206,0.000029,0.000030,0.000061,0.000206,0.000377,0.000175,0.000024
150,0.000000,0.000058,0.000120,0.004626,0.935919,0.005572,0.000001,0.000234,0.000032,0.000032,0.000095,0.000275,0.000379,0.000169,0.000027
151,0.000000,0.000083,0.000082,0.005984,0.933139,0.006116,0.000002,0.000176,0.000037,0.000036,0.000076,0.000261,0.000492,0.000190,0.000028
152,0.000000,0.000074,0.000103,0.005211,0.935718,0.005282,0.000002,0.000201,0.000032,0.000033,0.000076,0.000242,0.000421,0.000204,0.000028
153,0.000000,0.000053,0.000097,0.005472,0.939286,0.006848,0.000002,0.000236,0.000033,0.000037,0.000092,0.000268,0.000388,0.000158,0.000026
154,0.000000,0.000069,0.000073,0.004721,0.946479,0.004596,0.000001,0.000191,0.000027,0.000028,0.000070,0.000202,0.000335,0.000169,0.000027
155,0.000000,0.000069,0.000091,0.005911,0.937059,0.006004,0.000002,0.000187,0.000035,0.000038,0.000085,0.000267,0.000448,0.000187,0.000026
156,0.000000,0.000060,0.000115,0.005586,0.933861,0.007379,0.000002,0.000251,0.000036,0.000041,0.000100,0.000307,0.000425,0.000183,0.000029
157,0.000000,0.000068,0.000103,0.004917,0.940839,0.004915,0.000002,0.000203,0.000032,0.000033,0.000078,0.000235,0.000401,0.000187,0.000027
158,0.000000,0.000069,0.000104,0.005163,0.935277,0.005005,0.000002,0.000203,0.000033,0.000032,0.000072,0.000239,0.000417,0.000183,0.000026
159,0.000000,0.000057,0.000103,0.005311,0.931836,0.006238,0.000001,0.000239,0.000032,0.000035,0.000091,0.000260,0.000382,0.000154,0.000025
160,0.000000,0.000067,0.000101,0.005816,0.934006,0.005772,0.000002,0.000200,0.000035,0.000034,0.000077,0.000267,0.000439,0.000197,0.000029
161,0.000000,0.000070,0.000103,0.006355,0.938492,0.006703,0.000002,0.000202,0.000038,0.000039,0.000090,0.000287,0.000486,0.000196,0.000027
162,0.000000,0.000075,0.000114,0.004984,0.936052,0.006175,0.000002,0.000233,0.000035,0.000035,0.000096,0.000298,0.000426,0.000191,0.000030
163,0.000000,0.000076,0.000093,0.006270,0.936049,0.006011,0.000002,0.000209,0.000036,0.000036,0.000084,0.000256,0.000448,0.000191,0.000027
164,0.000000,0.000062,0.000089,0.004507,0.941708,0.004582,0.000001,0.000194,0.000029,0.000030,0.000068,0.000206,0.000361,0.000162,0.000023
