frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
108,0.116624,0.000005,0.935933,0.000005,0.000035,0.000191,0.000307,0.716083,0.002765,0.027676,0.040225,0.000440,0.000083,0.000293,0.001101
109,0.170284,0.000003,0.935640,0.000001,0.000021,0.000096,0.000217,0.813320,0.002487,0.061667,0.025592,0.000320,0.000078,0.000391,0.002500
110,0.017697,0.000032,0.989965,0.000062,0.000104,0.000534,0.003053,0.021192,0.001756,0.800522,0.063279,0.000530,0.000341,0.002037,0.001665
111,0.014596,0.000022,0.987113,0.000113,0.000286,0.000418,0.005851,0.088812,0.002679,0.510364,0.057781,0.000787,0.000343,0.001625,0.003416
112,0.989519,0.000002,0.010743,0.000008,0.015438,0.000337,0.006129,0.000351,0.001186,0.947673,0.002928,0.000430,0.005632,0.000347,0.000112
113,0.853989,0.000021,0.360404,0.000669,0.000419,0.000862,0.050075,0.009000,0.017229,0.836858,0.049114,0.004578,0.000964,0.001876,0.002690
114,0.054396,0.000297,0.960126,0.000599,0.000946,0.001179,0.003756,0.020569,0.003845,0.790867,0.090100,0.001613,0.000784,0.005682,0.004577
115,0.811175,0.000019,0.286201,0.000053,0.002946,0.000879,0.003296,0.008413,0.005366,0.212842,0.384903,0.002640,0.000794,0.001850,0.000804
116,0.985100,0.000001,0.254175,0.000000,0.000048,0.000055,0.000594,0.000128,0.001204,0.560649,0.527724,0.000630,0.000058,0.000515,0.000162
117,0.999432,0.000001,0.003021,0.000000,0.000080,0.000066,0.000490,0.003652,0.006988,0.043326,0.262353,0.000737,0.000230,0.000169,0.000080
118,0.999472,0.000000,0.003612,0.000000,0.000027,0.000040,0.000378,0.008538,0.015717,0.019581,0.106987,0.000470,0.000221,0.000152,0.000076
119,0.998041,0.000000,0.010444,0.000000,0.000094,0.000087,0.000397,0.065492,0.009097,0.010872,0.048088,0.000499,0.000231,0.000196,0.000171
120,0.999578,0.000001,0.005119,0.000000,0.000025,0.000039,0.000109,0.053337,0.010954,0.011613,0.013777,0.000342,0.000107,0.000291,0.000380
121,0.999485,0.000000,0.006999,0.000000,0.000002,0.000009,0.000466,0.014016,0.011613,0.013463,0.015597,0.000169,0.000083,0.000075,0.000069
122,0.995979,0.000032,0.003289,0.000067,0.007440,0.001725,0.018286,0.001637,0.007698,0.905569,0.004036,0.003014,0.002455,0.001109,0.000346
123,0.999998,0.000000,0.000013,0.000000,0.000008,0.000005,0.000137,0.005892,0.000648,0.114636,0.001027,0.000051,0.000259,0.000061,0.000022
124,0.996222,0.000000,0.025428,0.000011,0.000626,0.000174,0.151881,0.000536,0.005772,0.455795,0.022984,0.001178,0.004769,0.000537,0.000132
125,0.999943,0.000000,0.000157,0.000000,0.000031,0.000006,0.000094,0.072833,0.000238,0.425418,0.000643,0.000026,0.000190,0.000031,0.000010
126,0.997855,0.000000,0.016443,0.000000,0.000025,0.000033,0.000272,0.008377,0.001890,0.141494,0.007960,0.000169,0.000216,0.000256,0.000042
127,0.986353,0.000000,0.051633,0.000001,0.000036,0.000035,0.000097,0.008115,0.001405,0.066429,0.028689,0.000216,0.000061,0.000221,0.000067
128,0.939586,0.000000,0.219143,0.000001,0.000051,0.000124,0.000533,0.011176,0.003746,0.227458,0.103580,0.000512,0.000192,0.000426,0.000195
129,0.275536,0.000001,0.770163,0.000044,0.000851,0.000947,0.000633,0.030833,0.001386,0.630588,0.006098,0.000422,0.000894,0.000587,0.000204
130,0.682942,0.000001,0.570037,0.000188,0.000949,0.000320,0.015333,0.014076,0.003231,0.905747,0.005429,0.000748,0.000961,0.000272,0.000299
131,0.965940,0.000302,0.056054,0.000783,0.001860,0.000678,0.000151,0.003315,0.000516,0.000888,0.946186,0.000922,0.000243,0.001192,0.000544
132,0.854513,0.000087,0.453858,0.001004,0.000223,0.000391,0.000370,0.002655,0.002188,0.007049,0.979940,0.002222,0.000213,0.003182,0.001632
133,0.476364,0.000055,0.624960,0.001771,0.001900,0.000645,0.019018,0.006252,0.007026,0.250862,0.078291,0.002890,0.000881,0.002481,0.002308
134,0.928030,0.000514,0.228397,0.001213,0.000189,0.000314,0.021585,0.001038,0.003926,0.089939,0.879532,0.003719,0.000385,0.004549,0.004306
135,0.996803,0.000000,0.020338,0.000002,0.000478,0.000158,0.023101,0.002686,0.007360,0.650697,0.011611,0.000961,0.003623,0.000641,0.000226
136,0.998338,0.000041,0.000970,0.001714,0.000772,0.000231,0.051440,0.001674,0.014543,0.125044,0.324959,0.003303,0.001341,0.001327,0.001624
137,0.998350,0.000051,0.002361,0.000169,0.004560,0.000429,0.013794,0.002936,0.009803,0.207327,0.483329,0.003563,0.001294,0.001804,0.000754
138,0.992718,0.000061,0.009131,0.003337,0.000460,0.000234,0.001538,0.000953,0.001902,0.012358,0.918317,0.001380,0.000329,0.001213,0.001004
139,0.997456,0.000269,0.001947,0.000925,0.002187,0.000609,0.011030,0.001720,0.004530,0.048028,0.532046,0.002330,0.001675,0.002156,0.002225
140,0.976088,0.001867,0.012674,0.009367,0.001826,0.000943,0.001709,0.005488,0.003634,0.011470,0.755316,0.002590,0.001214,0.005377,0.001697
141,0.989512,0.000038,0.099824,0.000002,0.000059,0.000078,0.000232,0.001168,0.001810,0.177420,0.891625,0.000868,0.000103,0.002147,0.000796
142,0.882661,0.000004,0.592369,0.000000,0.000005,0.000012,0.000018,0.003452,0.000862,0.017235,0.904246,0.000248,0.000026,0.000541,0.000535
143,0.847449,0.001001,0.083071,0.000000,0.000736,0.000512,0.000132,0.116891,0.000745,0.096103,0.005665,0.000415,0.000340,0.000820,0.001052
144,0.750624,0.000193,0.283616,0.000007,0.001225,0.000755,0.000881,0.442067,0.001881,0.078652,0.024563,0.000878,0.000895,0.001733,0.001942
145,0.725312,0.000467,0.497439,0.000012,0.000974,0.000920,0.000632,0.555798,0.001783,0.078048,0.040114,0.001148,0.000540,0.001525,0.002515
146,0.778449,0.000009,0.033489,0.000100,0.108437,0.001420,0.002345,0.001038,0.001061,0.922629,0.004144,0.000795,0.001398,0.005297,0.000271
147,0.426602,0.000108,0.852371,0.000013,0.000152,0.000463,0.000624,0.353134,0.003315,0.375639,0.025493,0.000819,0.000296,0.002286,0.001751
148,0.194900,0.000173,0.882774,0.000011,0.000247,0.000308,0.000255,0.333418,0.000724,0.034808,0.038041,0.000488,0.000205,0.000528,0.000803
149,0.597091,0.000001,0.745537,0.000010,0.000296,0.000109,0.000196,0.025940,0.000874,0.956808,0.089854,0.000386,0.000201,0.001157,0.000349
150,0.673573,0.000060,0.681357,0.000013,0.000134,0.000302,0.000064,0.586103,0.000702,0.079847,0.128141,0.000381,0.000114,0.001062,0.001569
151,0.111825,0.000613,0.941679,0.000013,0.000065,0.000373,0.000108,0.343206,0.000873,0.128141,0.205181,0.000323,0.000101,0.001073,0.002209
152,0.324721,0.000346,0.762816,0.000096,0.000142,0.000405,0.000128,0.070889,0.000962,0.254784,0.193047,0.000448,0.000141,0.000892,0.001491
153,0.017654,0.002426,0.931106,0.000022,0.000129,0.000212,0.000327,0.005062,0.000879,0.601648,0.023336,0.000224,0.000112,0.000177,0.000286
154,0.037229,0.000137,0.878384,0.000091,0.000250,0.000111,0.000102,0.008235,0.000458,0.851519,0.016876,0.000158,0.000077,0.000174,0.000213
155,0.007133,0.000361,0.988964,0.000116,0.000207,0.000226,0.000198,0.191123,0.000644,0.450212,0.019578,0.000186,0.000093,0.000186,0.000354
156,0.027652,0.000016,0.990450,0.000100,0.000351,0.000439,0.000488,0.203119,0.000992,0.869274,0.008091,0.000232,0.000111,0.000160,0.000419
157,0.341005,0.000000,0.878243,0.000118,0.000269,0.000236,0.009461,0.003058,0.004090,0.888601,0.034883,0.001003,0.000767,0.000550,0.000357
158,0.041254,0.000004,0.992373,0.000051,0.000223,0.000241,0.000284,0.382182,0.000554,0.884928,0.004354,0.000129,0.000060,0.000083,0.000469
159,0.115990,0.000001,0.975192,0.000014,0.000179,0.000160,0.000380,0.089286,0.000378,0.816708,0.011467,0.000164,0.000040,0.000072,0.000218
160,0.111403,0.000017,0.964990,0.000045,0.000092,0.000244,0.000266,0.901945,0.000656,0.215100,0.002094,0.000110,0.000049,0.000103,0.000371
161,0.274671,0.000011,0.933330,0.000007,0.000182,0.000287,0.000208,0.992728,0.000755,0.065097,0.003143,0.000148,0.000056,0.000081,0.000563
162,0.037008,0.000070,0.986732,0.000014,0.000373,0.000386,0.000238,0.904124,0.000556,0.154949,0.103287,0.000487,0.000076,0.000225,0.002984
163,0.479820,0.007656,0.342743,0.000088,0.005262,0.000830,0.000634,0.004467,0.000981,0.005693,0.720939,0.001082,0.000498,0.001711,0.001146
164,0.339369,0.000124,0.776936,0.000103,0.000210,0.000504,0.000457,0.034550,0.003176,0.053482,0.531943,0.001414,0.000319,0.002212,0.002591
165,0.059564,0.000036,0.969271,0.000035,0.000257,0.000734,0.000665,0.031671,0.003362,0.087787,0.504392,0.001324,0.000555,0.001415,0.002803
